"","kindom","phylum","class","order","family","genus","species"
"OTU_32364","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","Fusarium","s__Fusarium oxysporum"
"OTU_26905","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Incertae_sedis_Hypocreales","Acremonium","s__Acremonium dichromosporum"
"OTU_896","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Trichocomaceae","Aspergillus","s__Aspergillus versicolor"
"OTU_144","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","Epicoccum","s__Epicoccum nigrum"
"OTU_430","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__","f__","","s__"
"OTU_15854","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Incertae_sedis_Hypocreales","Acremonium","s__Acremonium persicinum"
"OTU_25648","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae","Chaetomium","s__Chaetomium globosum"
"OTU_7341","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Incertae_sedis_Hypocreales","Myrothecium","s__Myrothecium roridum"
"OTU_34838","k__Fungi","p__Zygomycota","c__Incertae_sedis_Zygomycota","o__Mortierellales","f__Mortierellaceae","","s__"
"OTU_1721","k__Fungi","p__Ascomycota","c__Incertae_sedis_Ascomycota","o__Incertae_sedis_Ascomycota","f__Incertae_sedis_Ascomycota","","s__"
"OTU_40610","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","Fusarium","s__Fusarium oxysporum"
"OTU_499","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__","f__","","s__"
"OTU_130","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Coniochaetales","f__Coniochaetaceae","","s__"
"OTU_808","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Incertae_sedis_Hypocreales","Sarocladium","s__Sarocladium strictum"
"OTU_1023","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Incertae_sedis_Capnodiales","","s__"
"OTU_14153","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","","s__"
"OTU_196","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae","","s__"
"OTU_882","k__Fungi","p__Chytridiomycota","c__Chytridiomycetes","o__Rhizophydiales","f__","","s__"
"OTU_1283","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Teloschistales","f__Teloschistaceae","Xanthoria","s__Xanthoria parietina"
"OTU_801","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Onygenales","f__Onygenaceae","","s__"
"OTU_120","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","Fusarium","s__Fusarium solani"
"OTU_252","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","","s__"
"OTU_40343","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Incertae_sedis_Hypocreales","Emericellopsis","s__Emericellopsis terricola"
"OTU_50925","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","","s__"
"OTU_660","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__","f__","","s__"
