Num,CECK,K,TFe,AN,CECCa,TK,CEC,CECMg,ACu,AK,pH,AP,SO42-,Mg2+,TN,Ca2+,HCO3-,OM,CECNa,Na+,Cl-,AZn,TS,TP
0,0.127,0.036,33.897,19.6,1.121,10.004,15.204,2.006,1.876,170,8,4.923,0.449,0.13,0.645,0.187,0.182,12.804,0.265,0.112,0.421,0.722,3.55,0.717
0,0.129,0.052,32.629,50.4,1.09,10.562,16.419,1.643,1.662,204.3,7.99,14.14,0.948,0.271,0.813,0.374,0.144,13.519,0.3,0.133,0.46,0.627,2.45,0.753
0,0.303,0.026,32.492,19.6,3.595,10.408,15.908,4.982,1.606,135.4,8.47,4.317,0.461,0.127,0.626,0.011,0.233,12.038,0.778,0.099,0.237,0.427,1.725,0.72
0,0.374,0.031,33.629,22.4,2.624,10.042,15.593,5.269,1.687,154.4,8.47,24.383,0.513,0.023,0.634,0.176,0.188,13.169,1.082,0.108,0.347,0.531,2.525,0.745
3,0.476,0.028,34.853,19.6,3.868,11.225,18.228,7.968,1.534,160.3,8.46,6.813,0.961,0.107,0.566,0.144,0.226,12.104,2.51,0.119,0.516,0.389,3.075,0.726
7,0.298,0.043,33.799,42,2.884,9.974,14.895,4.578,1.713,305.5,8.33,8.773,0.615,0.072,0.671,0.203,0.236,13.659,0.703,0.119,0.507,0.582,3.15,0.773
10,0.355,0.035,32.927,25.2,2.722,8.969,15.792,4.982,1.769,145.7,8.25,5.787,0.474,0.098,0.752,0.294,0.171,12.681,1.046,0.124,0.609,0.483,2.6,0.724
4,0.276,0.035,33.813,30.8,2.562,8.514,17.24,4.397,2.145,154.5,8.13,30.193,0.833,0.114,0.689,0.214,0.188,13.761,0.855,0.115,0.386,0.478,5.2,0.876
16,0.642,0.08,34.434,33.6,2.375,10.552,15.988,6.247,1.667,241.6,8.18,12.693,1.525,0.261,0.767,0.401,0.164,14.832,1.814,0.184,0.951,0.601,3.225,0.685
17,0.367,0.038,35.437,25.2,3.009,10.635,15.57,5.046,1.657,622.4,8.15,7.163,0.602,0.117,0.694,0.267,0.168,12.472,0.855,0.119,0.49,0.433,1.625,0.709
35,0.378,0.033,34.507,21,2.919,10.374,15.921,5.131,3.301,157.5,8.3,7.793,0.641,0.098,0.635,0.16,0.212,13.371,0.855,0.111,0.355,0.498,2.075,0.647
41,0.423,0.044,37.835,25.2,3.351,10.4,17.658,4.854,1.575,186.2,8.17,26.95,0.718,0.134,0.668,0.214,0.199,11.504,0.891,0.115,0.438,0.413,2.85,0.686
31,0.514,0.048,36.277,30.8,3.234,8.042,16.43,5.056,1.611,179.3,8.21,43.983,1.192,0.124,0.667,0.267,0.171,13.378,1.229,0.121,0.475,0.495,1.925,0.849
49,0.551,0.052,33.98,152.6,3.198,9.265,16.807,3.908,1.641,247,8.06,16.053,0.564,0.124,0.693,0.278,0.171,12.887,0.512,0.103,0.304,0.49,1.7,0.657
30,0.256,0.056,33.278,25.2,1.508,10.119,16.248,1.911,1.636,271.2,8.27,17.593,0.397,0.104,0.637,0.203,0.178,11.614,0.246,0.099,0.237,0.399,2.325,0.791
78,0.726,0.072,34.391,21,2.722,10.136,13.538,5.131,1.855,250.3,8.28,12.693,0.654,0.085,0.665,0.187,0.168,13.274,0.703,0.111,0.321,0.506,1.275,0.672
64,0.563,0.038,40.18,156.8,3.722,12.643,18.004,5.481,1.636,283.5,8.43,15.703,0.436,0.062,0.627,0.134,0.202,11.959,0.435,0.094,0.169,0.374,0.975,0.669
63,0.635,0.05,35.035,92.4,3.288,9.81,17.19,5.014,2.308,213.6,8.42,21.793,0.205,0.114,0.631,0.005,0.209,11.049,0.548,0.099,0.174,0.437,0.325,0.699
90,0.645,0.067,37.345,25.2,2.821,11.162,16.891,5.194,1.662,219.6,8.27,8.12,1.205,0.212,0.726,0.155,0.175,13.552,0.891,0.12,0.452,0.513,2.475,0.654
56,0.431,0.046,32.674,33.6,2.893,10.103,18.78,5.311,1.713,150.4,8.11,11.488,1.294,0.147,0.648,0.374,0.168,12.721,1.046,0.125,0.482,0.472,3.65,0.756
